n_estimators,50,50,100,100,150,150,200,200,250,250,300,300,350,350,400,400,450,450,500,500
max_features,sqrt,log2,sqrt,log2,sqrt,log2,sqrt,log2,sqrt,log2,sqrt,log2,sqrt,log2,sqrt,log2,sqrt,log2,sqrt,log2
0,0.525,0.5125,0.4875,0.4875,0.5,0.4875,0.5,0.5125,0.5125,0.5,0.525,0.525,0.5375,0.5375,0.55,0.5375,0.5375,0.525,0.525,0.5125
1,0.5125,0.5125,0.5,0.5375,0.525,0.525,0.525,0.5125,0.5125,0.525,0.525,0.525,0.5375,0.5375,0.5375,0.525,0.525,0.5375,0.5375,0.55
2,0.7125,0.7,0.6875,0.7,0.7,0.7,0.6875,0.6875,0.675,0.6625,0.7,0.7,0.6875,0.6875,0.675,0.65,0.675,0.65,0.6625,0.6375
3,0.5625,0.525,0.5375,0.5625,0.5625,0.5625,0.55,0.55,0.55,0.55,0.575,0.5875,0.575,0.575,0.575,0.575,0.575,0.575,0.5625,0.575
4,0.7,0.7,0.6875,0.7125,0.7,0.7125,0.6875,0.675,0.6875,0.6875,0.65,0.6625,0.675,0.675,0.675,0.675,0.6625,0.6625,0.675,0.6875
5,0.6,0.6125,0.6125,0.6125,0.6,0.6,0.5875,0.5875,0.5875,0.5875,0.5875,0.5875,0.575,0.6125,0.6125,0.6,0.6,0.5875,0.5875,0.5875
6,0.5375,0.55,0.5875,0.6,0.575,0.5625,0.6,0.575,0.575,0.5875,0.525,0.5125,0.5375,0.5625,0.575,0.5375,0.5875,0.6,0.5875,0.575
7,0.65,0.65,0.6625,0.6625,0.6625,0.65,0.675,0.6625,0.6625,0.65,0.6625,0.6625,0.675,0.675,0.65,0.6625,0.6625,0.6625,0.6625,0.6625
8,0.625,0.5875,0.6125,0.65,0.65,0.6375,0.6375,0.6375,0.65,0.65,0.625,0.65,0.65,0.6375,0.6375,0.6375,0.6375,0.6375,0.6375,0.65
9,0.6375,0.7,0.6375,0.675,0.6375,0.65,0.65,0.6625,0.65,0.65,0.6375,0.6375,0.6375,0.6625,0.675,0.65,0.6625,0.6625,0.6625,0.65
10,0.5,0.5375,0.5375,0.525,0.525,0.55,0.5375,0.55,0.55,0.5375,0.5375,0.55,0.5125,0.525,0.5125,0.525,0.525,0.5375,0.55,0.5375
11,0.7375,0.7375,0.7375,0.7375,0.7375,0.7375,0.7375,0.7375,0.7375,0.75,0.7375,0.725,0.725,0.7125,0.7125,0.725,0.725,0.725,0.725,0.7125
12,0.5875,0.6,0.5625,0.5875,0.575,0.5875,0.5875,0.6,0.5875,0.6,0.55,0.6,0.625,0.6,0.6,0.575,0.5875,0.6,0.6,0.6
